"Model","Dem_R2","GOP_R2","Dem_RMSE","GOP_RMSE"
"Random Forest",0.6305131470005,0.616029389818696,0.096977714150902,0.100174156706462
"XGBoost",0.63631507124324,0.617674166059424,0.0959538129867679,0.0997342631049413
